test_id,test_describe,test_priorityh,test_flag,test_mothed,path,date,expected_result,actual_result,test_result
11,新建邮寄单备注-haveSecondOption=2，返回数据为空，是否包含二级选项只能为0或1,P2,1,POST,/smart/express_order_remark,"{ ""tipsDescription"":"""", ""haveSecondOption"":2,
 ""secondOption"":""填写二级选项不存在"",
""remarkType"":""这是新建二级邮寄备注test6""}",是否包含二级选项只能为0或1,,
12,新建邮寄单备注-remarkType超过50个字符，提示备注类型不能超过50个字符,P1,1,POST,/smart/express_order_remark,"{
""remarkType"":""三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束1"", ""haveSecondOption"":1,
""secondOption"":""二级选项不能超过50"",""tipsDescription"":""""}","{""success"":false,""message"":""remarkType:备注类型:1-50个字符"",""code"":0,""data"":null}",,
13,新建邮寄单备注-remarkType50个字符，新建一级选项备注为50,P1,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,
""secondOption"":""新建一级选项备注为50"",""tipsDescription"":"""",
""remarkType"":""三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
14,新建邮寄单备注-secondOption传入不以英文逗号隔开的数据-新增成功，但二级选项中只能有一条数据,P1,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,
""remarkType"":""传入不以英文逗号隔开的数据"",""tipsDescription"":"""",""secondOption"":""二级选项一，二级选项二""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
15,新建邮寄单备注-secondOption传入以英文逗号隔开的数据-新增成功，但二级选项中只能有多条数据,P0,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,
""remarkType"":""传入以英文逗号隔开的数据"",""tipsDescription"":"""",""secondOption"":""二级选项一,二级选项二,二级选项三""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
16,新建邮寄单备注-secondOption传入超过150字符-提示二级选项不能超过150个字符,P1,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,""remarkType"":""二级选项不能超过150字符""
,""tipsDescription"":"""",""secondOption"":""三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束1""
}",二级选项最多150个字符,,
17,新建邮寄单备注-输入tipsDescription提示话术151字符-提示提示话术150字,P0,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,
""secondOption"":""新建一级选项备注为50"",""tipsDescription"":""三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束1"",
""remarkType"":""提示话术不能超过150字""}",tipsDescription:提示话术最多150个字符,,
18,新建邮寄单备注-输入tipsDescription提示话术150字符-新建成功,P0,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,
""secondOption"":""新建一级选项备注为50"",""tipsDescription"":""三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束"",
""remarkType"":""提示话术150字""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
19,新建邮寄单备注-secondOption传入150字符-新建二级选备注成功,P1,1,POST,/smart/express_order_remark,"{""secondOption"":""三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束""
, ""haveSecondOption"":1,""remarkType"":""二级选项150字符""
,""tipsDescription"":""""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
20,查询所有邮寄单备注配置-不传入任何参数-返回所有数据,P1,1,GET,/smart/express_order_remark/list,,"""status"":1",,
21,查询所有邮寄单备注配置-传入status=0-返回所有status=0数据,P1,1,GET,/smart/express_order_remark/list?status=0,,"""status"":0",,
22,查询所有邮寄单备注配置-传入status=1-返回所有status=1数据,P0,1,GET,/smart/express_order_remark/list?status=1,,"""status"":1",,
23,查询所有邮寄单备注配置-传入status=3-返回数据为空,P1,1,GET,/smart/express_order_remark/list?status=3,,"{""success"":true,""message"":"""",""code"":0,""data"":\[\]}",,
24,查询某个备注类型的二级选项-传入id=15，id存在且有二级选项-正确返回数据,P0,1,GET,/smart/express_order_remark/15/second_option,,"{""success"":true,""message"":"""",""code"":0,""data"":\[""京西二级选项""\]}",,
25,查询某个备注类型的二级选项-传入id=16，id存在但无二级选项-返回数据为空,P0,1,GET,/smart/express_order_remark/16/second_option,,"{""success"":true,""message"":"""",""code"":0,""data"":\[\]}",,
26,查询某个备注类型的二级选项-传入id=0，id不存在-返回数据为空,P0,1,GET,/smart/express_order_remark/0/second_option,,"{""success"":true,""message"":"""",""code"":0,""data"":\[\]}",,
27,修改邮寄单备注状态-status=0，邮寄备注状态被修改为0,P0,1,PUT,/smart/express_order_remark/16/status?status=0&remark=1,,"{""success"":true,""message"":"""",""code"":200,""data"":null}",,
28,修改邮寄单备注状态-status=1，邮寄备注状态被修改为1,P1,1,PUT,/smart/express_order_remark/17/status?status=1&remark=1,,"{""success"":true,""message"":"""",""code"":200,""data"":null}",,
29,修改邮寄单备注状态-status不传，提示status必填,P1,1,PUT,/smart/express_order_remark/0/status?remark=1,,状态不能为空,,
30,修改邮寄单备注状态-remark不传，remark必填,P1,1,PUT,/smart/express_order_remark/0/status?status=1,,"备注不能为空,不能全为空格",,
31,修改邮寄单备注状态-id不存在，无法修改,P1,1,PUT,/smart/express_order_remark/0/status?status=1&remark=1,,数据不存在,,
32,修改邮寄单备注状态-stastus=3不存在，无法修改,P1,1,PUT,/smart/express_order_remark/1/status?status=3&remark=1,,状态无效:只能为0或1,,
33,修改邮寄单备注状态-remarkType超过150个字符-提示备注类型不能超过150个字符,P1,1,PUT,/smart/express_order_remark/1/status?status=1&remark=三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束1,,备注:1-150个字符,,
34,修改邮寄单备注状态-remarkType150个字符-正常修改,P1,1,PUT,/smart/express_order_remark/17/status?status=1&remark=三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大结束三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三大大大大三修改结束,,"{""success"":true,""message"":"""",""code"":200,""data"":null}",,
35,新建邮寄单关闭原因配置-正确传入必填参数（haveSecondOption、closeReasonType）其他均不传入-新增成功没有二级选项关闭原因,P0,,POST,/smart/express_order_close_reason,"{""closeReasonType"":""新建冒烟二级选项关闭原因"",""haveSecondOption"":0}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
36,新建邮寄单关闭原因配置-正确传入必填参数（haveSecondOption）不传-提示haveSecondOption必传,P1,,POST,/smart/express_order_close_reason,"{
""secondOption"":"""",
""tipsDescription"":"""",""closeReasonType"":""haveSecondOption没有值""}","{""success"":false,""message"":""haveSecondOption:是否包含二级选项不能为空"",""code"":0,""data"":null}",,
37,新建邮寄单关闭原因配置-正确传入必填参数（closeReasonType）不传-提示closeReasonType必传,P1,,POST,/smart/express_order_close_reason,"{
""secondOption"":"""",
""tipsDescription"":"""",""haveSecondOption"":0}","{""success"":false,""message"":""closeReasonType:关闭原因不能为空,不能全为空格"",""code"":0,""data"":null}",,
38,"新建邮寄单关闭原因配置-不传入任何一个必填参数-提示必填参数,不能为空",P1,,POST,/smart/express_order_close_reason,"{
""secondOption"":"""",""tipsDescription"":""""}","closeReasonType:关闭原因不能为空,不能全为空格",,
39,新建邮寄单关闭原因配置-haveSecondOption=1、secondOption不填写-提示请填写二级选项,P1,,POST,/smart/express_order_close_reason,"{
""closeReasonType"":""必填选项"",
""tipsDescription"":"""",""haveSecondOption"":1}","{""success"":false,""message"":""二级选项不能为空"",""code"":3008,""data"":null}",,
40,新建邮寄单关闭原因配置-haveSecondOption=1、secondOption=空-提示请填写二级选项,P1,,POST,/smart/express_order_close_reason,"{
""closeReasonType"":""必填选项"",
""tipsDescription"":"""",""haveSecondOption"":1,""secondOption"":""""}","{""success"":false,""message"":""二级选项不能为空"",""code"":3008,""data"":null}",,
41,haveSecondOption=1，secondOption填写-新增一条关闭原因-本条数据有二级选项,P0,,POST,/smart/express_order_close_reason,"{
""closeReasonType"":""新增关闭原因二级选项"",
""tipsDescription"":"""",""haveSecondOption"":1,""secondOption"":""关闭原因有二级选项""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
42,新建邮寄单关闭原因配置-haveSecondOption=0，secondOption不填写-新增一条关闭原因-本条数据无二级选项,P0,,POST,/smart/express_order_close_reason,"{
""closeReasonType"":""新增关闭原因没有二级选项"",
""tipsDescription"":"""",""haveSecondOption"":0}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
43,新建邮寄单关闭原因配置-haveSecondOption=2，提示是否包含二级选项只能为0或1,P1,,POST,/smart/express_order_close_reason,"{
""closeReasonType"":""新增关闭无法新建"",
""tipsDescription"":"""",""haveSecondOption"":2}",是否包含二级选项只能为0或1,,
44,新建邮寄单关闭原因配置-closeReasonType超过50字符，无法新建关闭原因类型,P1,,POST,/smart/express_order_close_reason,"{

""tipsDescription"":"""",""haveSecondOption"":0,
""closeReasonType"":""新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新增关想1""}","{""success"":false,""message"":""closeReasonType:关闭原因:1-50个字符"",""code"":0,""data"":null}",,
45,新建邮寄单关闭原因配置-closeReasonType50字符，新建关闭原因类型,P1,,POST,/smart/express_order_close_reason,"{

""tipsDescription"":"""",""haveSecondOption"":0,
""closeReasonType"":""新增五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新增关想新建""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
46,新建邮寄单关闭原因配置-secondOption传入不以英文逗号隔开的数据，新建关闭原因类型，只有一个二级选项,P1,,POST,/smart/express_order_close_reason,"{""closeReasonType"":""二级关闭原因中文隔开"",
""tipsDescription"":"""",""haveSecondOption"":1,
""secondOption"":""关闭一，关闭二""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
47,新建邮寄单关闭原因配置-secondOption传入以英文逗号隔开的数据，新建关闭原因类型,P1,,POST,/smart/express_order_close_reason,"{""closeReasonType"":""二级关闭原因英文隔开"",
""tipsDescription"":"""",""haveSecondOption"":1,
""secondOption"":""关闭一,关闭二""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
48,新建邮寄单关闭原因配置-secondOption传入超过150字符，提示不能超过150字符,P1,,POST,/smart/express_order_close_reason,"{""closeReasonType"":""二级关闭原因长度校验"",
""tipsDescription"":"""",""haveSecondOption"":1,
""secondOption"":""二级邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想1""}","{""success"":false,""message"":""secondOption:二级选项最多150个字符"",""code"":0,""data"":null}",,
49,新建邮寄单关闭原因配置-secondOption、tipsDescription传入150字符-新建成功,P1,,POST,/smart/express_order_close_reason,"{""closeReasonType"":""二级关闭原因150字符"",
""tipsDescription"":""二级邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新提示"",""haveSecondOption"":1,
""secondOption"":""二级邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
50,新建邮寄单关闭原因配置-tipsDescription传入151字符-提示提示语不能超过150字符,P1,,POST,/smart/express_order_close_reason,"{""closeReasonType"":""二级关闭原因中文隔开"",
""tipsDescription"":""二级邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想1"",""haveSecondOption"":1,
""secondOption"":""关闭一，关闭二""}",tipsDescription:提示话术最多150个字符,,
51,查询所有邮寄单关闭原因配置-不传任何参数，返回所有关闭原因,P1,,GET,/smart/express_order_close_reason/list,,"""status"":1",,
52,查询所有邮寄单关闭原因配置-传入status=0，返回传入status=0的关闭原因,P0,,GET,/smart/express_order_close_reason/list?status=0,,"""status"":0",,
53,查询所有邮寄单关闭原因配置-传入status=1，返回传入status=1的关闭原因,P0,,GET,/smart/express_order_close_reason/list?status=1,,"""status"":1",,
54,查询所有邮寄单关闭原因配置-传入status=3，返回空,P1,,GET,/smart/express_order_close_reason/list?status=3,,"{""success"":true,""message"":"""",""code"":0,""data"":\[\]}",,
55,查询某个关闭原因的二级选项-正确传入必填参数（id存在且有二级选项）返回对应数据,P0,,GET,/smart/express_order_close_reason/13/second_option,,"{""success"":true,""message"":"""",""code"":0,""data"":\[""二级01"",""二级02""\]}",,
56,查询某个关闭原因的二级选项-传入id（id存在且无二级选项）返回空,P1,,GET,/smart/express_order_close_reason/14/second_option,,"{""success"":true,""message"":"""",""code"":0,""data"":\[\]}",,
57,查询某个关闭原因的二级选项-正确传入id=0-返回空,P1,,GET,/smart/express_order_close_reason/0/second_option,,"{""success"":false,""message"":""数据不存在"",""code"":3011,""data"":null}",,
58,修改邮寄单关闭原因状态-status不传-提示status必传,P1,,PUT,/smart/express_order_close_reason/1/status?remark=修改,,"{""success"":false,""message"":""\[状态不能为空\]"",""code"":0,""data"":null}",,
59,修改邮寄单关闭原因状态-修改关闭原因remark不填写，remark提示必填,P1,,PUT,/smart/express_order_close_reason/1/status?status=0,,"备注不能为空,不能全为空格",,
61,修改邮寄单关闭原因状态-修改status=0，对应数据status修改为0,P0,,PUT,/smart/express_order_close_reason/14/status?status=0&remark=修改status=0,,"{""success"":true,""message"":"""",""code"":200,""data"":null}",,
62,修改邮寄单关闭原因状态-修改status=1，对应数据status修改为1,P0,,PUT,/smart/express_order_close_reason/13/status?status=1&remark=修改status=1,,"{""success"":true,""message"":"""",""code"":200,""data"":null}",,
63,修改邮寄单关闭原因状态-修改id不存在，不能修改,P1,,PUT,/smart/express_order_close_reason/0/status?status=0&remark=id不存在不能修改,,"{""success"":false,""message"":""数据不存在"",""code"":3011,""data"":null}",,
64,修改邮寄单关闭原因状态-修改status不存在，不能修改,P1,,PUT,/smart/express_order_close_reason/1/status?status=3&remark=status不存在不能修改,,"{""success"":false,""message"":""状态无效:只能为0或1"",""code"":3010,""data"":null}",,
65,修改邮寄单关闭原因状态-超过remark150个字符，不能修改,P1,,PUT,/smart/express_order_close_reason/1/status?status=1&remark=关闭原因备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想1,,备注:1-150个字符,,
66,修改邮寄单关闭原因状态-remark150个字符，可以修改,P1,,PUT,/smart/express_order_close_reason/14/status?status=1&remark=关闭原因备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想,,"{""success"":true,""message"":"""",""code"":200,""data"":null}",,
67,修改邮寄单关闭原因状态-remark空格，提示不能为空格,P1,,PUT,/smart/express_order_close_reason/1/status?status=0&remark= ,,"备注不能为空,不能全为空格",,
68,获取某个邮寄单的备注信息-id不存在备注信息-返回备注信息为空,P1,,GET,/smart/express_order_operate/42254/remark,,"{""success"":true,""message"":"""",""code"":0,""data"":{""remarkId"":0,""remarkType"":null,""haveSecondOption"":null,""tipsDescription"":null,""remark"":null,""remarkSecondOption"":null}}",,
69,获取某个邮寄单的备注信息-id不存在邮寄单-返回为空,P1,,GET,/smart/express_order_operate/0/remark,,"{""success"":true,""message"":"""",""code"":0,""data"":null}",,
70,邮寄单-确认用户收货地址 -邮寄备注为空可以提交,P0,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 4864, ""operate"": 1}","""success"":true",,
71,邮寄单-确认用户收货地址 -一级备注类型不为空-邮寄备注不为空，二级选项为空-可以确认用户地址,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 4863,
 ""operate"":1,
 ""remarkId"":16,
    ""remarkSecondOption"":"""",
    ""remarkType"":""自动化测试数据无二级选项"",""remark"": ""邮寄备注""}","""success"":true",,
72,邮寄单-新增用户收货地址 -一级备注类型不为空无二级选项-邮寄备注为空-提示邮寄备注不能为空,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42256,
 ""operate"": 1,
 ""remarkId"":16,
    ""remarkSecondOption"":"""",
    ""remarkType"":""自动化测试数据无二级选项"",""remark"": "" ""}",备注原因不能为空,,
73,邮寄单-修改用户收货地址 -一级备注类型不为空-remarkId可为空-添加成功，但是数据库表里的备注字段会清空,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42255,
 ""operate"": 2,
 ""remark"": ""邮寄单备注"",
    ""remarkSecondOption"":"""",
    ""remarkType"":""自动化测试数据无二级选项""}
","""success"":true",,
74,邮寄单确认用户收货地址 -一级备注类型不为空-备注二级选项空-提示二级选项不能为空,P0,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42257,
 ""operate"": 1,
 ""remark"": ""文档为奥所"",
 ""remarkId"":15,  ""remarkType"":""自动化测试数据有二级选项开启""}","{""success"":false,""message"":""二级选项不能为空"",""code"":3008,""data"":null}",,
75,邮寄单-确认用户收货地址 -一级备注类型不为空-备注二级选项不为空，remark为空-不能提交，提示remark字段不能为空,P0,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42266,
 ""operate"": 1,
 ""remark"": """",
 ""remarkId"":15,
    ""remarkType"":""自动化测试数据有二级选项开启"",""remarkSecondOption"":""京西二级选项""}",备注原因不能为空,,
76,邮寄单-确认用户收货地址 -remark邮寄备注超过150字符-提示remark邮寄备注不能超过150字符,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 209,
 ""operate"": 1,
 ""remarkId"":10,
    ""remarkSecondOption"":"""",
    ""remarkType"":""这是一级备注类型"",""remark"": ""邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想1""}","{""success"":false,""message"":""remark:邮寄备注:最多150个字符"",""code"":0,""data"":null}",,
77,邮寄单-确认用户收货地址 -remark邮寄备注150字符-提示remark邮寄备注提交成功,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42265,
 ""operate"": 1,
 ""remarkId"":15,
    ""remarkSecondOption"":"""",
    ""remarkType"":""自动化测试数据有二级选项开启"",""remarkSecondOption"":""京西二级选项"",""remark"": ""邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新修改一百五十""}","""success"":true",,
78,邮寄单-修改用户收货地址 -remarkId邮寄备注id在数据不存在-添加成功，但是数据库表里的备注字段会清空,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42263,
 ""operate"": 1,
 ""remark"": ""邮寄单备注"",
    ""remarkSecondOption"":"""",
    ""remarkType"":""这是一级备注类型"",""remarkId"":0}","""success"":true",,
79,邮寄单-确认用户收货地址 -remarkSecondOption备注二级选项为151字符，提示备注二级选项不能超过150字符,P0,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 42262,
 ""operate"": 1,
 ""remark"": ""5545"",
 ""remarkId"":16,
    ""remarkType"":""自动化测试数据无二级选项"",""remarkSecondOption"":""二级邮寄备注不能超过一百五十字符关闭二级原因新增超过五十字符关闭无法新建新闭无法新建关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭无法新建新增关闭无法新建新建新增关想关闭二级原因新增超过五十字符关闭无法新建新增关闭无法新建新增关闭建新增关闭无法新建新建新关想1""}",remarkSecondOption:备注二级选项:最多150个字符,,
80,邮寄单-确认用户收货地址 -remarkType备注类型超过50字符，提示备注类型不能超过50字符,P1,,PUT,/smart/express_order_operate/user_address,"{""address"": ""北京市长城街道155号"",
 ""areaName"": ""东城区"",
 ""cityName"": ""北京市"",
 ""phone"": ""13555000001"",
 ""provinceName"": ""北京市"",
 ""realname"": ""罗洪测试"",
 ""expressOrderId"": 209,
 ""operate"": 1,
 ""remark"": ""1515"",
 ""remarkId"":16,
    ""remarkSecondOption"":"""",""remarkType"":""备注类型不能超过五十字符备注类型不能超过五十字符备注类型不能超过五十字符备注类型不能超过五十字符备注1""}",,,
